Word 1,Word 2,Human Score,Predicted Similarity
announcement,effort,2.0625,0.23047968745231628
announcement,news,7.1875,0.2156071662902832
announcement,production,1.6875,0.14401602745056152
announcement,warning,4.625,0.2526661157608032
arrival,hotel,2.1875,0.08271680027246475
atmosphere,landscape,3.5625,0.1960814893245697
attempt,peace,0.9375,0.19154399633407593
baby,mother,5.25,0.29214662313461304
bank,money,6.625,0.05877287685871124
baseball,season,3.2565,0.1700012981891632
board,recommendation,1.25,0.2692268490791321
book,library,5.3125,0.11680002510547638
book,paper,5.875,0.10971838235855103
bread,butter,4.1875,0.17197604477405548
car,automobile,9.369,0.19707736372947693
car,flight,2.4375,0.09700429439544678
cell,phone,6.25,0.14358070492744446
century,nation,2.1875,0.13853830099105835
century,year,4.0,0.36394405364990234
change,attitude,3.375,-0.06879616528749466
coast,forest,2.125,0.16923873126506805
coast,hill,2.3125,0.31049200892448425
coast,shore,8.2755,0.40660521388053894
company,stock,3.75,0.18141761422157288
competition,price,3.0,0.1701808124780655
consumer,confidence,1.6875,0.08373060822486877
consumer,energy,2.75,0.13804030418395996
country,citizen,4.3125,0.14000941812992096
credit,card,4.5625,0.06317497789859772
credit,information,3.644,0.21833428740501404
cup,article,1.3125,0.04877050220966339
cup,coffee,5.0625,0.037311360239982605
cup,drink,4.75,0.25254446268081665
cup,food,1.875,0.09832543134689331
cup,liquid,3.75,0.1898108571767807
cup,object,4.25,0.026276299729943275
cup,substance,1.9375,0.008001845329999924
day,dawn,4.625,0.10125884413719177
day,summer,3.125,0.4605447053909302
death,row,1.6875,0.19203639030456543
delay,news,1.4375,0.18480715155601501
development,issue,3.3125,0.2617141902446747
direction,combination,2.0625,0.09615196287631989
disaster,area,1.625,7.961690425872803e-05
discovery,space,3.9375,0.10490856319665909
doctor,personnel,3.5625,0.1707792729139328
dollar,buck,8.5625,0.25773683190345764
dollar,loss,2.1875,-0.0014576632529497147
dollar,profit,5.375,0.08931608498096466
drink,car,0.3125,0.14683184027671814
drink,ear,0.375,0.28391963243484497
drink,eat,4.125,0.2505767345428467
drink,mother,0.5625,0.1550796926021576
drink,mouth,4.7375,0.06243197247385979
energy,crisis,3.0505,0.11066842079162598
energy,laboratory,2.7565,0.11846539378166199
energy,secretary,1.0625,0.1770576536655426
experience,music,2.3125,0.19008487462997437
family,planning,1.75,0.06966637820005417
five,month,1.069,0.0863705575466156
focus,life,2.3125,0.1648578643798828
food,fruit,7.0625,0.15321287512779236
food,preparation,3.75,0.2712176740169525
game,defeat,3.6875,0.2330949902534485
game,round,5.1875,0.2702963650226593
game,series,4.5625,0.08737657219171524
game,team,4.625,0.08861811459064484
game,victory,4.6875,0.14553529024124146
glass,metal,2.1875,0.26275452971458435
government,crisis,3.625,-0.09643619507551193
governor,interview,1.625,0.05384039133787155
governor,office,4.3125,0.0685136616230011
holy,sex,1.069,0.2732628881931305
hundred,percent,4.4375,0.3300352990627289
image,surface,1.8125,0.08756255358457565
investigation,effort,3.75,0.26588141918182373
japanese,american,3.125,0.1448899805545807
journal,association,2.625,0.16390176117420197
journey,car,4.0625,0.03331939876079559
king,queen,5.6875,0.20495419204235077
law,lawyer,6.1875,0.3029000163078308
lawyer,evidence,3.9375,-0.03278745710849762
life,death,4.375,0.26174068450927734
life,lesson,3.1875,0.14055714011192322
life,term,3.8125,-0.07445874065160751
line,insurance,1.3125,-0.035862769931554794
liquid,water,7.0625,0.33205652236938477
love,sex,6.375,0.2886251211166382
luxury,car,3.3125,0.19556491076946259
man,governor,4.25,0.10470309853553772
man,woman,4.5,0.4905163645744324
mars,water,1.5625,0.14679250121116638
minister,party,3.0625,0.1664096564054489
minority,peace,1.1875,-0.018199751153588295
money,bank,6.0,0.05877287685871124
money,cash,8.875,0.2931329011917114
money,cash,9.0315,0.2931329011917114
money,dollar,7.6875,0.23417729139328003
money,operation,1.875,0.12768159806728363
money,possession,4.3125,0.23990994691848755
money,property,5.0625,0.2989842891693115
money,wealth,7.0625,0.03028648905456066
month,hotel,1.0625,0.10972137749195099
morality,importance,2.5,-0.04938989505171776
morality,marriage,2.375,-0.02082773670554161
movie,critic,3.1875,0.2215193808078766
movie,star,4.3125,0.07554498314857483
movie,theater,6.125,0.13433483242988586
museum,theater,3.875,0.2998915910720825
music,project,3.1875,0.0024216100573539734
nature,environment,6.9375,0.21264603734016418
nature,man,2.9375,0.12969639897346497
news,report,6.8125,0.2510819435119629
oil,stock,2.9375,0.0995786115527153
opera,industry,1.194,0.17060399055480957
opera,performance,4.875,0.035088978707790375
