Word 1,Word 2,Human Score,Predicted Similarity
announcement,effort,2.0625,0.18653666973114014
announcement,news,7.1875,0.3114355206489563
announcement,production,1.6875,0.06739845126867294
announcement,warning,4.625,0.3049609959125519
arrival,hotel,2.1875,0.11615420877933502
atmosphere,landscape,3.5625,0.23644694685935974
attempt,peace,0.9375,0.23029081523418427
baby,mother,5.25,0.3356786370277405
bank,money,6.625,0.17152389883995056
baseball,season,3.2565,0.14203494787216187
board,recommendation,1.25,0.2501179575920105
book,library,5.3125,0.016217492520809174
book,paper,5.875,0.25814288854599
bread,butter,4.1875,0.3957875370979309
car,automobile,9.369,0.1630391776561737
car,flight,2.4375,0.09559625387191772
cell,phone,6.25,0.09655147790908813
century,nation,2.1875,0.0965847373008728
century,year,4.0,0.18837538361549377
change,attitude,3.375,0.07015661895275116
coast,forest,2.125,0.10253088176250458
coast,hill,2.3125,0.09041891247034073
coast,shore,8.2755,0.3619535565376282
company,stock,3.75,0.27554452419281006
competition,price,3.0,0.13592572510242462
consumer,confidence,1.6875,-0.08973322063684464
consumer,energy,2.75,0.07777361571788788
country,citizen,4.3125,-0.008643129840493202
credit,card,4.5625,0.11477015912532806
credit,information,3.644,0.22574099898338318
cup,article,1.3125,0.12408257275819778
cup,coffee,5.0625,0.3073858618736267
cup,drink,4.75,0.37292754650115967
cup,food,1.875,0.1464751958847046
cup,liquid,3.75,0.3113962709903717
cup,object,4.25,0.07512570917606354
cup,substance,1.9375,0.009586915373802185
day,dawn,4.625,0.09648768603801727
day,summer,3.125,0.36723780632019043
death,row,1.6875,0.021016772836446762
delay,news,1.4375,0.06474530696868896
development,issue,3.3125,0.32542407512664795
direction,combination,2.0625,0.27336812019348145
disaster,area,1.625,0.03648925572633743
discovery,space,3.9375,-0.11142770946025848
doctor,personnel,3.5625,0.10831034183502197
dollar,buck,8.5625,0.20624861121177673
dollar,loss,2.1875,0.12761107087135315
dollar,profit,5.375,0.194722980260849
drink,car,0.3125,0.13602514564990997
drink,ear,0.375,0.11274810880422592
drink,eat,4.125,0.22940458357334137
drink,mother,0.5625,0.2910258173942566
drink,mouth,4.7375,0.17378577589988708
energy,crisis,3.0505,0.05545118823647499
energy,laboratory,2.7565,0.05435246601700783
energy,secretary,1.0625,0.09108753502368927
experience,music,2.3125,0.12132924795150757
family,planning,1.75,0.20998205244541168
five,month,1.069,0.20187464356422424
focus,life,2.3125,0.17340432107448578
food,fruit,7.0625,0.10474126040935516
food,preparation,3.75,0.12387826293706894
game,defeat,3.6875,0.23983705043792725
game,round,5.1875,0.15937498211860657
game,series,4.5625,0.264037549495697
game,team,4.625,0.04887339845299721
game,victory,4.6875,0.23103144764900208
glass,metal,2.1875,0.3303568363189697
government,crisis,3.625,0.09151849150657654
governor,interview,1.625,0.1302010416984558
governor,office,4.3125,0.10347539931535721
