Word 1,Word 2,Human Score,Predicted Similarity
announcement,effort,2.0625,0.4795171022415161
announcement,news,7.1875,0.9025442004203796
announcement,production,1.6875,0.6985666751861572
announcement,warning,4.625,0.8691596388816833
arrival,hotel,2.1875,0.7266607880592346
atmosphere,landscape,3.5625,0.9359197020530701
attempt,peace,0.9375,0.41051793098449707
baby,mother,5.25,0.7792313694953918
bank,money,6.625,0.7565914392471313
baseball,season,3.2565,0.8262412548065186
board,recommendation,1.25,0.9350767135620117
book,library,5.3125,0.9318270087242126
book,paper,5.875,0.9328898787498474
bread,butter,4.1875,0.8820684552192688
car,automobile,9.369,0.8658230304718018
car,flight,2.4375,0.8226134777069092
cell,phone,6.25,0.8931427597999573
century,nation,2.1875,0.9693105816841125
century,year,4.0,0.8901909589767456
change,attitude,3.375,0.8853704929351807
coast,forest,2.125,0.918096125125885
coast,hill,2.3125,0.9448841214179993
coast,shore,8.2755,0.9406761527061462
company,stock,3.75,0.9634553790092468
competition,price,3.0,0.904551088809967
consumer,confidence,1.6875,0.7544506788253784
consumer,energy,2.75,0.891449511051178
country,citizen,4.3125,0.836933970451355
credit,card,4.5625,0.742573082447052
credit,information,3.644,0.8988004922866821
cup,article,1.3125,0.5623772144317627
cup,coffee,5.0625,0.662229597568512
cup,drink,4.75,0.6602690815925598
cup,food,1.875,0.6213945746421814
cup,liquid,3.75,0.603807806968689
cup,object,4.25,0.692767322063446
cup,substance,1.9375,0.6878213882446289
day,dawn,4.625,0.8473979830741882
day,summer,3.125,0.9356399774551392
death,row,1.6875,0.7755206227302551
delay,news,1.4375,0.7813996076583862
development,issue,3.3125,0.8443084955215454
direction,combination,2.0625,0.7795061469078064
disaster,area,1.625,0.8771722316741943
discovery,space,3.9375,0.8828969597816467
doctor,personnel,3.5625,0.8249544501304626
dollar,buck,8.5625,0.6790835857391357
dollar,loss,2.1875,0.7841641306877136
dollar,profit,5.375,0.8324826955795288
drink,car,0.3125,0.6415167450904846
drink,ear,0.375,0.6839914917945862
drink,eat,4.125,0.6190221309661865
drink,mother,0.5625,0.7521079182624817
drink,mouth,4.7375,0.5937765836715698
energy,crisis,3.0505,0.9191047549247742
energy,laboratory,2.7565,0.9065359830856323
energy,secretary,1.0625,0.9333311319351196
experience,music,2.3125,0.8937057256698608
family,planning,1.75,0.9140127301216125
five,month,1.069,0.7163752317428589
focus,life,2.3125,0.8494440913200378
food,fruit,7.0625,0.8845361471176147
food,preparation,3.75,0.9102623462677002
game,defeat,3.6875,0.821533203125
game,round,5.1875,0.9336628913879395
game,series,4.5625,0.659349262714386
game,team,4.625,0.945334792137146
game,victory,4.6875,0.873447597026825
glass,metal,2.1875,0.9345396757125854
government,crisis,3.625,0.9662522077560425
governor,interview,1.625,0.8581560850143433
governor,office,4.3125,0.8878840208053589
holy,sex,1.069,0.8403578996658325
hundred,percent,4.4375,0.573345959186554
image,surface,1.8125,0.8885313272476196
investigation,effort,3.75,0.5966786742210388
japanese,american,3.125,0.9234387874603271
journal,association,2.625,0.9076226353645325
journey,car,4.0625,0.8575594425201416
king,queen,5.6875,0.9613257050514221
law,lawyer,6.1875,0.680266797542572
lawyer,evidence,3.9375,0.5379980802536011
life,death,4.375,0.9687003493309021
life,lesson,3.1875,0.7324830889701843
life,term,3.8125,0.7695491909980774
line,insurance,1.3125,0.6913928389549255
liquid,water,7.0625,0.9277566075325012
love,sex,6.375,0.8604336380958557
luxury,car,3.3125,0.8332884311676025
man,governor,4.25,0.7856536507606506
man,woman,4.5,0.9794514775276184
mars,water,1.5625,0.7392585873603821
minister,party,3.0625,0.9406552314758301
minority,peace,1.1875,0.7852392196655273
money,bank,6.0,0.7565914392471313
money,cash,8.875,0.9069978594779968
money,cash,9.0315,0.9069978594779968
money,dollar,7.6875,0.7891505360603333
money,operation,1.875,0.8651573061943054
money,possession,4.3125,0.7380948066711426
money,property,5.0625,0.9051194787025452
money,wealth,7.0625,0.769834578037262
month,hotel,1.0625,0.812820315361023
morality,importance,2.5,0.7841986417770386
morality,marriage,2.375,0.6844444274902344
movie,critic,3.1875,0.770842969417572
movie,star,4.3125,0.9336019158363342
movie,theater,6.125,0.8732861876487732
museum,theater,3.875,0.9352187514305115
music,project,3.1875,0.9077959656715393
nature,environment,6.9375,0.8218071460723877
nature,man,2.9375,0.7187730073928833
news,report,6.8125,0.9348039031028748
oil,stock,2.9375,0.9205313920974731
opera,industry,1.194,0.8970649242401123
opera,performance,4.875,0.8071037530899048
peace,atmosphere,2.1875,0.8758983612060547
peace,insurance,1.7565,0.8207310438156128
peace,plan,1.5,0.8764223456382751
phone,equipment,4.0315,0.7731836438179016
plane,car,3.5625,0.9375595450401306
planet,moon,6.0,0.8376945853233337
planet,people,3.375,0.7633841037750244
planet,space,5.3125,0.7827320694923401
planet,star,5.625,0.8616225123405457
planet,sun,5.8125,0.801628828048706
population,development,3.4755,0.9256381988525391
possibility,girl,1.069,0.7942497730255127
practice,institution,3.5625,0.8179336190223694
problem,challenge,6.875,0.7667274475097656
production,crew,3.1875,0.9087836742401123
professor,doctor,6.125,0.8750442266464233
profit,loss,3.875,0.681273877620697
profit,warning,1.6875,0.7978993654251099
record,number,3.5,0.7466484308242798
registration,arrangement,3.4375,0.8013860583305359
report,gain,2.25,0.8865214586257935
rock,jazz,5.5,0.9110742807388306
school,center,3.875,0.8384037017822266
secretary,senate,3.75,0.8576269745826721
seven,series,2.25,0.5664883852005005
situation,conclusion,3.5625,0.9315583109855652
skin,eye,2.75,0.8963143229484558
smart,student,3.625,0.6583022475242615
smart,stupid,3.25,0.7101659774780273
soap,opera,3.5625,0.764396607875824
space,world,4.9375,0.9435560703277588
start,match,2.5,0.9012199640274048
start,year,1.625,0.8109227418899536
stock,life,1.8125,0.92081618309021
stock,live,1.875,0.5950435400009155
stock,market,4.875,0.9186180830001831
stock,phone,0.75,0.871127724647522
street,avenue,7.6875,0.7449489831924438
street,block,6.5625,0.8981428146362305
street,children,1.294,0.8876128196716309
street,place,4.5,0.8911484479904175
student,professor,4.9375,0.9133450984954834
sugar,approach,0.9375,0.7138556241989136
summer,nature,4.0,0.8198966383934021
telephone,communication,6.6875,0.7481176257133484
television,film,5.75,0.7475762963294983
television,radio,4.625,0.7277849316596985
territory,surface,3.594,0.7627223134040833
theater,history,1.9375,0.8894054889678955
train,car,3.5,0.917606770992279
travel,activity,4.1875,0.8795716166496277
treatment,recovery,5.3125,0.8140058517456055
type,kind,8.4375,0.9532069563865662
victim,emergency,2.6875,0.5645173788070679
war,troops,6.375,0.8382916450500488
weapon,secret,2.5,0.8836054801940918
wednesday,news,1.125,0.7060873508453369
wood,forest,7.9375,0.8931531310081482
